#OTU ID,blank1..,blank2..,blank3.Joe.,NTC1..,NTC2..,ConsensusLineage,S008824,S008825,S008826,S008827,S008834,S008835,S008836,S008837,S008844,S008845,S008846,S008847,S008854,S008855,S008856,S008857,S009020,S009021,S009022,S009023,S009030,S009032,S009033,S009040,S009041,S009042,S009043,S009050,S009051,S009052,S009053,S009064,S009065,S009066,S009067,S009074,S009075,S009076,S009077,S009084,S009085,S009086,S009087,S009090,S009095,S009096,S009097,Sum
OTU150,0,0,0,4,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; ; f__; g__; s__,0.862116041,0.086906062,0.566937644,0.011118566,0.939182237,0.135177453,0.017305777,0.614647502,0.013797116,0.906110927,0.822518775,0.048105321,0.388023439,0.953938773,0.341343723,0.792685888,0.301655757,0.8736309,0.913430646,0.949814238,0.008846349,0.436448876,0.522642193,0.410016491,0.917134831,0.970112991,0.403849679,0.020718495,0.953486784,0.004370716,0.960843113,0.180561878,0.001425917,0.88784565,0.001921742,0.230885312,0.397245147,0.934298908,0.693756884,0.676983386,0.33795767,0.846787248,0.743007143,0.201258283,0.932046643,0.00164535,0.636531979,23.85107644
OTU15064,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0.000204778,0,0.000140971,0,5.42E-05,0,0,8.56E-05,0,0.000166058,5.40E-05,0,0.000285837,0.000102472,0,3.03E-05,0,3.05E-05,5.06E-05,5.99E-05,0,7.44E-05,0,0.00010755,0.000247852,8.78E-05,0,0,0.000204904,0,5.77E-05,0.00016258,0,0.000220921,0,0,5.81E-05,0.000104954,0,0,0,7.04E-05,0,0.00013386,0,0,4.75E-05,0.002843736
OTU613,0,1,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; ; f__; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03E-05,0,0,0,0,0,0,0,0,8.26E-05,0,0.001191567,0,0,0,0,3.25E-05,0,0,0,0,5.81E-05,0,0,0,0,0.001196425,0,0,3.09E-05,0,0,0.002622524
OTU82364,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Panicum; s__Panicum_lanipes; ,6.83E-05,0,4.70E-05,0,0.000216626,0,0,2.85E-05,0,0.000199269,0,0,0,0.000230562,2.97E-05,9.10E-05,0,0.000122037,7.59E-05,0.00017977,0,0,4.03E-05,3.59E-05,0,0.000146361,0,0,0,0,0.000115337,0,0,0.000110461,0,0,0.000116239,0.000209908,0.000115935,3.73E-05,3.09E-05,0.000140756,0,6.69E-05,9.28E-05,0,4.75E-05,0.002595248
OTU37464,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Pentaclethra; s__Pentaclethra_macrophylla; ,0,0.000136537,0,0.000191699,0,0,0.000280129,5.70E-05,0.000249345,0,0,7.51E-05,0.000285837,0,5.95E-05,0,0,0,0,0,0.000398811,7.44E-05,4.03E-05,0.0002151,0,0,0,0,0,3.31E-05,0,6.50E-05,4.32E-05,0,0,0,0,0,0,0,0.000278078,0,0,6.69E-05,0,3.10E-05,0,0.002581142
OTU549,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; ; f__; g__; s__,0,0,0.000375922,0,0,0.000313152,0,0,0,0,0,0,0,0,0.000148708,0,0,0,5.06E-05,0,0,0.000818574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81E-05,0,5.80E-05,0,0,0,0,0,0,3.10E-05,0.000712217,0.0025663
OTU60086,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Stryphnodendron; s__Stryphnodendron_adstringens; ,0,0.000341344,0,0.000311512,0,0,0.000186753,2.85E-05,8.31E-05,0,0,0.000300345,0,0,0,0,0.000308048,0,0,0,0.000108767,0,0,0.00010755,0,0,0,0,0,0.000132446,0,3.25E-05,0.000129629,0,0,0,5.81E-05,0,0,7.47E-05,0.00012359,0,0,0,0,0.000186266,0,0.002513187
OTU69608,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Muhlenbergia; s__Muhlenbergia_richardsonis; ,6.83E-05,0,4.70E-05,0,5.42E-05,0,0,0.000114077,0,9.96E-05,0.000108056,0,0.000142918,7.69E-05,2.97E-05,6.07E-05,0,9.15E-05,7.59E-05,0,0,7.44E-05,0,7.17E-05,8.26E-05,5.85E-05,0,0,0.000239055,0,5.77E-05,0,0,7.36E-05,0,0,0,0,0.000173903,3.73E-05,0,7.04E-05,0,0.00040158,0.00012372,0,0,0.002433363
OTU1960,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; ; g__; s__,0,0,9.40E-05,0,0,0.00125261,0,0,0,0,0,0,0,0,0.000148708,0,0,0,0.000202383,0,0,0.000372079,0,0,0,0,0.000183318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142443,0.002395522
OTU1595,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,9.40E-05,0,0,0,0,0,0,0,0,0,0,0,5.95E-05,0,0,0,5.06E-05,0,0,0.000297663,4.03E-05,0,8.26E-05,0,0.00091659,0,0,0,0,0,0,0,0,0,5.81E-05,0,0,0,0,0,0,0,0,0,0.000759698,0.002359
OTU42858,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Tachigali; s__Tachigali_panamensis; ,0,6.83E-05,0,0.000191699,0,0,3.11E-05,0.000114077,0.000124673,0,0,2.50E-05,0,0,0.000148708,0,0,0,0,0,3.63E-05,0,0,0.0002151,0,0,0.000183318,0.000190078,0,9.93E-05,0,0.000195097,4.32E-05,0,0,0,5.81E-05,0,0,0,0.000154488,0,0,0.00013386,0,0.000186266,0,0.002198705
OTU20438,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0,0.000204806,0,0,0,0,0,0,0,3.32E-05,0.000324167,0,0,2.56E-05,8.92E-05,6.07E-05,0,3.05E-05,2.53E-05,0,0,0,0,3.59E-05,8.26E-05,0,9.17E-05,0,3.42E-05,0,5.77E-05,0.000195097,0,3.68E-05,0,0,0,0.000104954,0.000115935,7.47E-05,3.09E-05,0.000140756,0.000172132,0,3.09E-05,0,0.000142443,0.002140111
OTU479,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0,6.83E-05,4.70E-05,0,0.000108313,0,0,0,0,6.64E-05,5.40E-05,0,0.000142918,7.69E-05,2.97E-05,3.03E-05,0,3.05E-05,5.06E-05,8.99E-05,0,0,4.03E-05,0,8.26E-05,8.78E-05,9.17E-05,0,0.000239055,0,8.65E-05,0,0,3.68E-05,0,0,5.81E-05,0.000209908,5.80E-05,0,3.09E-05,0.000140756,8.61E-05,0,9.28E-05,0,0,0.002136104
OTU85568,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Cynodon; s__Cynodon_plectostachyus; ,0.000136519,0,0,0,0,0,0,2.85E-05,0,0,0,0,0,2.56E-05,2.97E-05,0,0,0,0,5.99E-05,0,0,8.05E-05,0,0,5.85E-05,0,0,0,0,0,0,0,0,0,0.000503018,0,0.000104954,0,0,3.09E-05,0,8.61E-05,0.000803159,0,3.10E-05,0.000142443,0.002120953
OTU6448,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Saxifragales; o__Altingiaceae; f__; g__Liquidambar; ; s__,0,0,0,0,0,0,0,0,0,3.32E-05,0,0.002002303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002068626
OTU76131,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Santalales; o__Comandraceae; f__; g__Comandra; s__Comandra_pallida; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93E-05,0,0,0,3.31E-05,0,0,0,0,0,0,0,0,0.0019709,0,0,0,0,0,0,0,0,0.002033284
OTU52676,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Megathyrsus; s__Megathyrsus_maximus; ,0.000136519,0.000136537,0,0,5.42E-05,0,0,8.56E-05,0,3.32E-05,0.000216111,0,0,0,0.000118966,6.07E-05,7.70E-05,3.05E-05,0,0.000119847,0,7.44E-05,0,0.00010755,0.000165235,0,0,0,0,0,2.88E-05,9.75E-05,0,0.000147281,0,0,0,0,5.80E-05,0,3.09E-05,0,0.000172132,0,6.19E-05,0,0,0.002012846
OTU30087,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Mora; s__Mora_gonggrijpii; ,0,0.000136537,0,0.000119812,0,0,6.23E-05,2.85E-05,8.31E-05,0,0,5.01E-05,0,0,8.92E-05,0,0,0,0,0,0.000181278,0,0,3.59E-05,0,0,0,0.000190078,0,6.62E-05,0,3.25E-05,4.32E-05,0,0,0,0.000174358,0,0,7.47E-05,6.18E-05,0,0,6.69E-05,0,0.000372532,0,0.001868955
OTU3606,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09E-05,0,0,0.00185928
OTU169,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,0.000328932,0,0,0,0,0,0,0,0,0,0,0,0.000178449,0,0,0,0,0,0,0.000372079,0,0,0,0,9.17E-05,0,0,0,0,0,0,0,0,0,5.81E-05,0,0.000115935,0,0,0,0,0,0,0,0.000712217,0.001857391
OTU22635,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Solanum; s__Solanum_melongena; ,0,0,0,0,0,0,0.000280129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001558203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001838333
OTU3291,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Eragrostis; ; s__,6.83E-05,0,0,0,0,0,3.11E-05,2.85E-05,4.16E-05,6.64E-05,5.40E-05,0,0,5.12E-05,0.000118966,9.10E-05,0,0.000122037,0,3.00E-05,0,0,0,7.17E-05,0,2.93E-05,0.000274977,0,3.42E-05,0,0.000115337,0.00016258,0,0,0,0,5.81E-05,0.000209908,0.000173903,0,0,0,0,0,0,0,0,0.001833108
OTU8513,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Arachis; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001771275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001771275
OTU58978,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_arenaria; ,0,6.83E-05,4.70E-05,7.19E-05,0,0.000104384,0,0,0.000124673,0,0,5.01E-05,0,0,0.000148708,0,0,0,0,0,0.000217533,7.44E-05,0,3.59E-05,0,0,0,0,0,6.62E-05,0,9.75E-05,0,0,0,0,5.81E-05,0,0,7.47E-05,0.00012359,0,0,6.69E-05,0,0.000186266,0,0.001616113
OTU93076,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Jacqueshuberia; s__Jacqueshuberia_purpurea; ,6.83E-05,0,0,7.19E-05,0,0,3.11E-05,0,8.31E-05,0,0,0.000300345,0,0,0.000237932,0,0,0,0,0,0.000108767,0,4.03E-05,0.0001434,0,0,0,0,0,6.62E-05,0,3.25E-05,0,0,0,0,5.81E-05,0,0,0,3.09E-05,0,0,6.69E-05,0,0.00021731,0,0.001557081
OTU23486,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Boraginales; o__Hydrophyllaceae; f__; g__Hydrophyllum; s__Hydrophyllum_canadense; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001489353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001489353
OTU47187,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Cylicodiscus; s__Cylicodiscus_gabunensis; ,0,0.000204806,4.70E-05,7.19E-05,0,0,0.000186753,2.85E-05,8.31E-05,0,0,7.51E-05,0.000142918,0,2.97E-05,0,0,0,0,0,3.63E-05,0.000148832,0,0,0,0,0,0,0,0.000132446,0,3.25E-05,0,0,0,0,5.81E-05,0,0,3.73E-05,3.09E-05,0,0,0,0,9.31E-05,0,0.001439351
OTU948,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; ; f__; g__; s__,0,0,0,4.79E-05,0,0,6.23E-05,2.85E-05,0.000374018,0,0,0,0.000142918,0,8.92E-05,3.03E-05,0,0,0,0,0.000145022,0,0,0,0,0,0,0.000190078,0,9.93E-05,0,0,4.32E-05,0,0,0,0,0,0,0,3.09E-05,0,0,6.69E-05,0,0,0,0.001350677
OTU62439,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malvales; o__Malvaceae; f__Malvoideae; g__Gossypium; s__Gossypium_hirsutum; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001170579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001349906
OTU2963,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,0.000187961,0,0,0.000626305,0,0,0,0,0,0,0,0,0,0,0,0,0.000101192,0,0,0.000297663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81E-05,0,0,0,0,0,0,0,0,0,0,0.00127124
OTU27244,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Parkinsonia; ; s__,0,0.000273075,0,4.79E-05,0,0,6.23E-05,2.85E-05,0.000124673,0,0,5.01E-05,0.000142918,0,0,0,0,0,0,0,0.000108767,7.44E-05,0,0,0,0,0,0.000190078,0,0,0,0,0,0,0,0,0,0,0,3.73E-05,6.18E-05,0,0,0,0,3.10E-05,0,0.001232853
OTU22566,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Solanum; s__Solanum_campylacanthum; ,0,0,0,0,0,0,0.000124502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001099908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122441
OTU61672,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Nymphaeales; o__Nymphaeaceae; f__; g__Nymphaea; s__Nymphaea_mexicana; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000637329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000581193,0,0,0,0,0,0,0,0,0,0,0.001218522
OTU106816,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__Chenopodioideae; g__Chenopodium; s__Chenopodium_hians; ,0,0,0,0,0,0,0,0,0.000332461,0,0,0.000275317,0,0,0,0.000576631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001184408
OTU53053,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Bothriochloa; s__Bothriochloa_insculpta; ,0,0,0,0,5.42E-05,0,0.000311255,0,0,0,0,0,0,2.56E-05,0,3.03E-05,0,3.05E-05,2.53E-05,3.00E-05,0,0,0,0,0,8.78E-05,0,0,3.42E-05,0,0,0,0,0,0,0,5.81E-05,0.000209908,0,3.73E-05,0,7.04E-05,0.000172132,0,0,0,0,0.001176986
OTU14582,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; g__Haplocarpha; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000743556,0,9.17E-05,0,0.000341507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001176722
OTU4372,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Helichrysum; s__Helichrysum_sp__TRK-2015; ,0,0,4.70E-05,0,0,0.000104384,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0.000372079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80E-05,0,0,0,0,0,0,0,0.000522292,0.001133455
OTU3076,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Chamaecrista; ; s__,0,0,0,7.19E-05,0,0.000104384,0.000124502,0,8.31E-05,3.32E-05,0,0,0,0,2.97E-05,0,0,0,0,0,3.63E-05,0,0,3.59E-05,0,0,0,0.000380156,0,3.31E-05,0,0,4.32E-05,0,0,0,0,0,5.80E-05,0,3.09E-05,0,0,0,0,3.10E-05,0,0.001095334
OTU17354,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Cenchrus; ; s__,6.83E-05,0,4.70E-05,0,0,0,0,0,0,6.64E-05,5.40E-05,0,0,2.56E-05,0,3.03E-05,0,3.05E-05,0,0.000239693,0,0,4.03E-05,3.59E-05,0,2.93E-05,0,0,0,0,0,3.25E-05,0,3.68E-05,0,0,0,0.000104954,0,3.73E-05,0,7.04E-05,8.61E-05,0,3.09E-05,0,0,0.001066243
OTU1974,0,0,0,1,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; ; g__; s__,0,6.83E-05,4.70E-05,0,0,0,3.11E-05,2.85E-05,0,0,0,0,0,0,0,3.03E-05,0,0,0,3.00E-05,3.63E-05,0,0,3.59E-05,0,0,0,0.000190078,0,0.000364226,0,3.25E-05,0,0,0,0,5.81E-05,0,0,0,0,0,0,0,9.28E-05,0,0,0.00104505
OTU1213,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Panicum; ; s__,0,0,4.70E-05,0,0.000108313,0,0,0,0,9.96E-05,0,0,0,2.56E-05,0,3.03E-05,0,0,5.06E-05,5.99E-05,0,0,0,3.59E-05,8.26E-05,2.93E-05,0,0,6.83E-05,0,5.77E-05,3.25E-05,0,0.000110461,0,0,0,0,0,0,0,7.04E-05,8.61E-05,0,3.09E-05,0,0,0.001025484
OTU24667,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Setaria; s__Setaria_sp__TRK-2015; ,6.83E-05,0,0.000563883,0,0,0,0,0,0,0,0,0,0,0,2.97E-05,0,0,3.05E-05,0,5.99E-05,0,0,4.03E-05,0,0,0,9.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.73E-05,0,7.04E-05,0,0,3.09E-05,0,0,0.001022871
OTU8560,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,0.000187961,0,0,0.000208768,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,5.06E-05,0,0,0.000446495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50E-05,0.001018524
OTU23075,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Delonix; ; s__,0,0,0,2.40E-05,0,0,0,0,0,0,0,0,0,0,5.95E-05,0,7.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50E-05,0.000777773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001003263
OTU193,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; ; g__; s__,0,0,0,0,5.42E-05,0,0,2.85E-05,0,0,0,0,0.00085751,0,0,0,0,0,2.53E-05,0,0,0,0,0,0,2.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000994756
OTU946,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Rosoideae; ; g__; s__,0,0,0,0,5.42E-05,0,0,0,0,0,0,0,0,0,0,0,0.000924143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009783
OTU43759,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Bromus; s__Bromus_gunckelii; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000949623,0.000949623
OTU61153,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Pityrocarpa; s__Pityrocarpa_obliqua; ,0,0,9.40E-05,0,0,0,3.11E-05,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0.000108767,0.000148832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000503018,0,0,0,0,0,0,0,0,0,3.10E-05,0,0.000946508
OTU3203,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; ; g__; s__,0,0.000273075,4.70E-05,0,0,0,6.23E-05,0,0,0,0,5.01E-05,0,0,2.97E-05,3.03E-05,0,0,0,0,7.25E-05,0,0,0,0,0,9.17E-05,0,0,0,0,3.25E-05,4.32E-05,0,0,0,0,0,0,7.47E-05,3.09E-05,0,0,6.69E-05,0,3.10E-05,0,0.0009359
OTU53711,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Calyceraceae; f__; g__Acicarpha; s__Acicarpha_tribuloides; ,0,0,0.000140971,0,0,0.000208768,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0.000223248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000332368,0.000935096
OTU17726,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Distichlis; s__Distichlis_eludens; ,0,0,0,0,0,0,0,0,0,3.32E-05,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,0,3.59E-05,0,2.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000803159,0,0,0,0.000931455
OTU88759,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Urochloa; s__Urochloa_lachnantha; ,0,0,0,0,0,0,0,0,0,0,0,0,0.000428755,0,0.000208191,0,0,0.000122037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80E-05,0,0,7.04E-05,0,0,0,0,0,0.000887328
OTU30009,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Tetrapleura; s__Tetrapleura_tetraptera; ,0,0,0,0.000143775,0,0,9.34E-05,0,0,0,0,2.50E-05,0,0,5.95E-05,0,7.70E-05,0,0,0,3.63E-05,0.000223248,0,0,0,0,0,0,0,6.62E-05,0,3.25E-05,4.32E-05,0,0,0,0,0,0,3.73E-05,0,0,0,0,0,3.10E-05,0,0.000868505
OTU62733,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Anisothrix; s__Anisothrix_kuntzei; ,0,0,0.000281942,0,0,0.000104384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44E-05,0,0,0,0,0,0,0,0,0,3.25E-05,0,0,0,0,5.81E-05,0,0,0,0,0,0,0,0,3.10E-05,0.000284887,0.000867308
OTU86831,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Mutisioideae; g__Mutisia; s__Mutisia_linifolia; ,0,0,0.000187961,0,0,0.000104384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81E-05,0,0,0,0,0,0,0,0,0,0.000284887,0.000858599
OTU61101,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Blumea; s__Blumea_laciniata; ,0,0,0.000187961,0,0,0.000104384,0,0,0,0,0,0,0,0,8.92E-05,0,0,0,0,0,0,7.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81E-05,0,5.80E-05,0,0,0,0,0,0,0,0.000284887,0.000856959
OTU44875,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; g__Leontodon; s__Leontodon_hispidus; ,0,0,0.000328932,0,0,0.000208768,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,7.44E-05,0,0,0,0,0,0,3.42E-05,0,0,0,0,0,0,0,5.81E-05,0,5.80E-05,0,0,0,0,0,0,0,4.75E-05,0.000839576
OTU95802,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Zea; s__Zea_mays; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000803159,0,0,0,0.000839009
