OTU,ConsensusLineage,S008824,S008825,S008826,S008827,S008834,S008835,S008836,S008837,S008844,S008845,S008846,S008847,S008854,S008855,S008856,S008857,S009020,S009021,S009022,S009023,S009030,S009032,S009033,S009040,S009041,S009042,S009043,S009050,S009051,S009052,S009053,S009064,S009065,S009066,S009067,S009074,S009075,S009076,S009077,S009084,S009085,S009086,S009087,S009090,S009095,S009096,S009097,Sum
OTU59434,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__Chenopodioideae; g__Chenopodium; s__Chenopodium_leptophyllum;,0,0,0,0,0,0,0,0,92,0,0,194,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18815
OTU13209,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Medicago; s__Medicago_sativa;,1,0,0,0,0,0,0,510,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,1,2,0,1,0,0,0,2,17237
OTU6553,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Capsicum; ; s__,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17232
OTU2700,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; ; g__; s__,4,13,3,53,0,4,33,8,29,1,0,11,2,0,13,0,5,0,1,0,33,7,1,16,0,0,0,9,0,22,0,29,8,0,0,0,6,0,3,6,13,0,0,4,0,30,1,17025
OTU20411,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,4,0,84,0,2,0,0,0,0,4,0,0,0,0,0,0,0,42,0,0,56,0,0,15631
OTU1023,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; ; s__,4,14,1,29,0,3,25,6,18,1,0,19,2,0,15,1,8,0,0,0,41,1,4,13,0,0,1,4,0,19,0,20,4,0,0,2,4,0,2,11,16,0,0,0,0,32,0,15153
OTU53045,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Thyridolepis; s__Thyridolepis_mitchelliana;,10,1,17,1,12,1,0,11,0,17,6,0,2,17,7,8,0,18,17,11,0,5,10,5,4,13,0,0,16,0,16,4,0,8,0,0,8,5,7,13,2,5,3,3,9,0,9,13989
OTU1790,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Echinochloa; ; s__,4,1,14,0,14,0,0,11,0,13,7,0,1,29,11,9,1,9,8,8,0,3,8,1,5,14,3,1,17,0,15,4,0,14,0,0,1,4,6,9,8,4,6,1,9,0,11,13093
OTU5185,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Dryadoideae; ; g__; s__,0,0,0,0,0,0,0,0,12,0,174,11,0,0,0,5,0,0,1,0,0,0,4,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,12554
OTU41409,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Pomaria; s__Pomaria_burchellii;,1,6,1,13,0,1,6,1,3,0,0,3,0,0,7,0,0,0,0,0,6,0,0,2,0,0,0,43,0,8,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,8,0,12021
OTU27118,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Convolvulaceae; ; f__; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,11697
OTU79531,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; s__Pinus_mugo;,2,16,0,0,0,1,8,0,0,0,13,0,0,0,0,0,0,0,32,0,67,1,0,30,0,0,6,0,3,1,0,7,0,9,0,0,37,0,0,0,0,0,0,0,0,0,0,11207
OTU4227,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; ; g__; s__,0,11,0,32,0,0,23,8,14,1,0,31,0,0,8,4,3,2,2,0,27,1,4,8,0,2,1,2,0,18,0,16,8,0,0,0,2,0,1,7,14,0,0,4,0,23,0,11017
OTU28083,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; ; s__,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9795
OTU97283,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Digitaria; s__Digitaria_ischaemum;,0,3,0,0,1,17,0,0,0,0,0,0,3,1,0,14,0,1,5,0,1,19,3,12,1,0,0,0,1,0,0,6,0,4,0,0,7,1,13,1,2,0,5,0,1,0,29,9720
OTU62838,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Cyperaceae; f__Cyperoideae; g__Carex; s__Carex_aquatilis;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,9352
OTU72144,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Bromus; s__Bromus_pumpellianus;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,9249
OTU27230,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Bistorta; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,9184
OTU36484,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Stryphnodendron; s__Stryphnodendron_pulcherrimum;,0,4,0,32,0,5,15,6,6,0,0,38,1,0,13,1,8,0,0,0,6,1,1,5,0,0,0,3,0,13,0,12,1,0,0,1,1,0,0,4,7,0,0,0,0,20,0,8982
OTU60088,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Stryphnodendron; s__Stryphnodendron_duckeanum;,3,12,0,9,0,1,16,1,11,1,0,10,1,0,13,2,2,1,0,0,11,0,0,7,0,0,1,6,0,16,0,14,4,0,0,0,4,0,0,5,12,0,0,1,0,10,0,8452
OTU105827,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_exuvialis;,1,2,0,33,0,0,14,4,15,0,0,11,2,0,14,0,1,0,1,0,9,1,0,11,0,0,1,1,0,15,0,14,8,0,0,1,2,0,0,5,9,0,0,2,0,16,0,8167
OTU1859,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; ; s__,0,0,34,0,0,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7974
OTU23860,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Mimosa; ; s__,1,4,0,25,0,2,18,5,13,0,0,14,0,0,13,0,2,4,0,0,13,11,1,9,0,0,0,2,0,9,0,9,2,0,0,0,2,0,0,2,8,0,0,1,1,13,1,7906
